AG|1960|10909294
AG|1961|11121645
AG|1962|11000948
AG|1963|11272878
AG|1964|11612858
AG|1965|11963091
AG|1966|12339140
AG|1967|12760499
AG|1968|13146267
AG|1969|13528304
AG|1970|13931846
AG|1971|14335388
AG|1972|14760787
AG|1973|15197724
AG|1974|15653200
AG|1975|16140252
AG|1976|16634618
AG|1977|17152804
AG|1978|17685768
AG|1979|18229932
AG|1980|18806061
AG|1981|19407036
AG|1982|20033753
AG|1983|20680982
AG|1984|21340546
AG|1985|22008450
AG|1986|22642538
AG|1987|23254956
AG|1988|23917674
AG|1989|24561722
AG|1990|25190449
AG|1991|25825978
AG|1992|26493629
AG|1993|27154754
AG|1994|27758508
AG|1995|28321697
AG|1996|28837598
AG|1997|29318183
AG|1998|29768857
AG|1999|30204849
AG|2000|30638018
AG|2001|31077277
AG|2002|31523711
AG|2003|31975415
AG|2004|32450849
AG|2005|32917567
AG|2006|33420968
AG|2007|34002400
AG|2008|34619419
AG|2009|35268128
AG|2010|35949869
AG|2011|36654293
AG|2012|37367226
AG|2013|38087812
AG|2014|38813722
AG|2015|39542166
AG|2016|40263711
AG|2017|40969443
AG|2018|41657488
AG|2019|42325923
AG|2020|42972878
AG|2021|43596498
AG|2022|44195289
AG|2023|44768774
AG|2024|45317189
AG|2025|45841317
AG|2026|46342439
AG|2027|46821890
AG|2028|47281234
AG|2029|47722597
AG|2030|48148456
AG|2031|48561405
AG|2032|48963397
AG|2033|49355830
AG|2034|49740180
AG|2035|50117732
AG|2036|50494321
AG|2037|50874765
AG|2038|51258111
AG|2039|51643341
AG|2040|52029215
AG|2041|52413932
AG|2042|52795174
AG|2043|53170494
AG|2044|53537501
AG|2045|53893778
AG|2046|54237145
AG|2047|54565705
AG|2048|54877585
AG|2049|55171092
AG|2050|55444735
AJ|1950|2885332
AJ|1951|2983082
AJ|1952|3090973
AJ|1953|3158974
AJ|1954|3222581
AJ|1955|3313718
AJ|1956|3416717
AJ|1957|3526313
AJ|1958|3630590
AJ|1959|3740596
AJ|1960|3881546
AJ|1961|4033503
AJ|1962|4157301
AJ|1963|4283470
AJ|1964|4430183
AJ|1965|4566962
AJ|1966|4701730
AJ|1967|4827284
AJ|1968|4945231
AJ|1969|5059334
AJ|1970|5168973
AJ|1971|5283659
AJ|1972|5393681
AJ|1973|5497774
AJ|1974|5599407
AJ|1975|5696117
AJ|1976|5789818
AJ|1977|5886578
AJ|1978|5986427
AJ|1979|6082087
AJ|1980|6198261
AJ|1981|6321218
AJ|1982|6446514
AJ|1983|6575300
AJ|1984|6712656
AJ|1985|6845030
AJ|1986|6970134
AJ|1987|7098945
AJ|1988|7233154
AJ|1989|7393439
AJ|1990|7497290
AJ|1991|7601153
AJ|1992|7718036
AJ|1993|7839115
AJ|1994|7952142
AJ|1995|8050585
AJ|1996|8138330
AJ|1997|8223513
AJ|1998|8308674
AJ|1999|8388447
AJ|2000|8463076
AJ|2001|8532310
AJ|2002|8597653
AJ|2003|8662912
AJ|2004|8737809
AJ|2005|8825439
AJ|2006|8919169
AJ|2007|9015038
AJ|2008|9111089
AJ|2009|9206777
AJ|2010|9301673
AJ|2011|9397279
AJ|2012|9493600
AJ|2013|9590159
AJ|2014|9686210
AJ|2015|9780780
AJ|2016|9872765
AJ|2017|9961396
AJ|2018|10046516
AJ|2019|10128025
AJ|2020|10205810
AJ|2021|10279658
AJ|2022|10349219
AJ|2023|10414460
AJ|2024|10475714
AJ|2025|10533598
AJ|2026|10588595
AJ|2027|10640817
AJ|2028|10690283
AJ|2029|10737080
AJ|2030|10781436
AJ|2031|10823654
AJ|2032|10863949
AJ|2033|10902404
AJ|2034|10939022
AJ|2035|10973747
AJ|2036|11006509
AJ|2037|11037301
AJ|2038|11066131
AJ|2039|11092920
AJ|2040|11117462
AJ|2041|11139505
AJ|2042|11158894
AJ|2043|11175564
AJ|2044|11189464
AJ|2045|11200511
AJ|2046|11208552
AJ|2047|11213488
AJ|2048|11215311
AJ|2049|11214028
AJ|2050|11209644
AL|1950|1227156
AL|1951|1254119
AL|1952|1282697
AL|1953|1314608
AL|1954|1352982
AL|1955|1392164
AL|1956|1434476
AL|1957|1476505
AL|1958|1521417
AL|1959|1571329
AL|1960|1623114
AL|1961|1676635
AL|1962|1728137
AL|1963|1779715
AL|1964|1832284
AL|1965|1883652
AL|1966|1932963
AL|1967|1984060
AL|1968|2038698
AL|1969|2100263
AL|1970|2156612
AL|1971|2208719
AL|1972|2263554
AL|1973|2295691
AL|1974|2347924
AL|1975|2401108
AL|1976|2454824
AL|1977|2509048
AL|1978|2563376
AL|1979|2617679
AL|1980|2671412
AL|1981|2724272
AL|1982|2780097
AL|1983|2837315
AL|1984|2895998
AL|1985|2956697
AL|1986|3015438
AL|1987|3075321
AL|1988|3136843
AL|1989|3195800
AL|1990|3244925
AL|1991|3181048
AL|1992|3072011
AL|1993|3066285
AL|1994|3111162
AL|1995|3158154
AL|1996|3203599
AL|1997|3225414
AL|1998|3212771
AL|1999|3187329
AL|2000|3158352
AL|2001|3128002
AL|2002|3098028
AL|2003|3069665
AL|2004|3045640
AL|2005|3024533
AL|2006|3005779
AL|2007|2991575
AL|2008|2984121
AL|2009|2982540
AL|2010|2986952
AL|2011|2994667
AL|2012|3002859
AL|2013|3011405
AL|2014|3020209
AL|2015|3029278
AL|2016|3038594
AL|2017|3047987
AL|2018|3057220
AL|2019|3066126
AL|2020|3074579
AL|2021|3082448
AL|2022|3089575
AL|2023|3095780
AL|2024|3100953
AL|2025|3104932
AL|2026|3107514
AL|2027|3108592
AL|2028|3108141
AL|2029|3106186
AL|2030|3102689
AL|2031|3097576
AL|2032|3090867
AL|2033|3082690
AL|2034|3073158
AL|2035|3062363
AL|2036|3050411
AL|2037|3037443
AL|2038|3023633
AL|2039|3009087
AL|2040|2993895
AL|2041|2978173
AL|2042|2962049
AL|2043|2945632
AL|2044|2928959
AL|2045|2912050
AL|2046|2894917
AL|2047|2877563
AL|2048|2859983
AL|2049|2842146
AL|2050|2824012
AM|1950|1355269
AM|1951|1379204
AM|1952|1416722
AM|1953|1455777
AM|1954|1505668
AM|1955|1565329
AM|1956|1617460
AM|1957|1672403
AM|1958|1733125
AM|1959|1796363
AM|1960|1868852
AM|1961|1943799
AM|1962|2006853
AM|1963|2065618
AM|1964|2134940
AM|1965|2205833
AM|1966|2273695
AM|1967|2338063
AM|1968|2402358
AM|1969|2463153
AM|1970|2519745
AM|1971|2581671
AM|1972|2647035
AM|1973|2712997
AM|1974|2776539
AM|1975|2834136
AM|1976|2892704
AM|1977|2954907
AM|1978|3014042
AM|1979|3072452
AM|1980|3133972
AM|1981|3198217
AM|1982|3264747
AM|1983|3330619
AM|1984|3397776
AM|1985|3464297
AM|1986|3528533
AM|1987|3591617
AM|1988|3655035
AM|1989|3472148
AM|1990|3529364
AM|1991|3589331
AM|1992|3508952
AM|1993|3328557
AM|1994|3198061
AM|1995|3130255
AM|1996|3120068
AM|1997|3112661
AM|1998|3106213
AM|1999|3104064
AM|2000|3100042
AM|2001|3099474
AM|2002|3096321
AM|2003|3088904
AM|2004|3086691
AM|2005|3084080
AM|2006|3081101
AM|2007|3078606
AM|2008|3076465
AM|2009|3074268
AM|2010|3071972
AM|2011|3069558
AM|2012|3067015
AM|2013|3064111
AM|2014|3060631
AM|2015|3056382
AM|2016|3051250
AM|2017|3045191
AM|2018|3038217
AM|2019|3030288
AM|2020|3021324
AM|2021|3011222
AM|2022|3000009
AM|2023|2987849
AM|2024|2974882
AM|2025|2961175
AM|2026|2946731
AM|2027|2931630
AM|2028|2916022
AM|2029|2900011
AM|2030|2883628
AM|2031|2866822
AM|2032|2849579
AM|2033|2831942
AM|2034|2813953
AM|2035|2795634
AM|2036|2776948
AM|2037|2757863
AM|2038|2738380
AM|2039|2718493
AM|2040|2698183
AM|2041|2677405
AM|2042|2656132
AM|2043|2634365
AM|2044|2612104
AM|2045|2589352
AM|2046|2566094
AM|2047|2542324
AM|2048|2518074
AM|2049|2493387
AM|2050|2468311
AN|1950|6176
AN|1951|6310
AN|1952|5866
AN|1953|5591
AN|1954|5503
AN|1955|6189
AN|1956|6221
AN|1957|6424
AN|1958|7103
AN|1959|7239
AN|1960|8392
AN|1961|8959
AN|1962|10317
AN|1963|11356
AN|1964|12199
AN|1965|13623
AN|1966|14380
AN|1967|15563
AN|1968|17216
AN|1969|18233
AN|1970|19545
AN|1971|20550
AN|1972|21425
AN|1973|23092
AN|1974|24807
AN|1975|26558
AN|1976|28500
AN|1977|29396
AN|1978|30321
AN|1979|31274
AN|1980|33584
AN|1981|37825
AN|1982|39940
AN|1983|41627
AN|1984|42712
AN|1985|44596
AN|1986|46476
AN|1987|47671
AN|1988|49365
AN|1989|50516
AN|1990|52747
AN|1991|56475
AN|1992|59722
AN|1993|62559
AN|1994|63826
AN|1995|63245
AN|1996|63358
AN|1997|64053
AN|1998|64728
AN|1999|65073
AN|2000|65099
AN|2001|65316
AN|2002|65986
AN|2003|68782
AN|2004|73247
AN|2005|76122
AN|2006|78294
AN|2007|80757
AN|2008|82627
AN|2009|83888
AN|2010|84525
AN|2011|84825
AN|2012|85082
AN|2013|85293
AN|2014|85458
AN|2015|85580
AN|2016|85660
AN|2017|85702
AN|2018|85708
AN|2019|85684
AN|2020|85635
AN|2021|85565
AN|2022|85476
AN|2023|85370
AN|2024|85249
AN|2025|85112
AN|2026|84962
AN|2027|84799
AN|2028|84623
AN|2029|84437
AN|2030|84239
AN|2031|84028
AN|2032|83801
AN|2033|83554
AN|2034|83286
AN|2035|82994
AN|2036|82675
AN|2037|82327
AN|2038|81948
AN|2039|81537
AN|2040|81093
AN|2041|80614
AN|2042|80099
AN|2043|79549
AN|2044|78963
AN|2045|78341
AN|2046|77686
AN|2047|76998
AN|2048|76280
AN|2049|75534
AN|2050|74765
AO|1950|4117617
AO|1951|4173095
